"","Baume-Schneider","Bischof","Burkart","Caroni","Chiesa","Engler","Ettlin","Francais","Gapany","Gmür Schönenberger","Graf","Häberli-Koller","Jositsch","Juillard","Knecht","Levrat","Maret","Michel","Müller","Noser","Rechsteiner","Rieder","Salzmann","carlosommaruga","Stark","thorens","Vara","Zanetti","Zopfi"
"Baume-Schneider",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bischof",0,1,0.0581252558329922,0.204257060990585,0.040523945968072,1.32050757265657,0.00450266066311912,0.0830945558739255,0.614408514121981,0.428571428571429,0.179697093737208,0,0.0573065902578797,1.57142857142857,0.12116250511666,0.051985264019648,0.259107654523127,0.24559967253377,0.273843634875154,0.164961113385182,0.0826852230863692,0.114613180515759,0.131805157593123,0.16414244781007,0.0912812116250512,0.392959476054032,0.155955792058944,0.305771592304544,0
"Burkart",0,0.0628040689960195,1,0.27156125608138,0.0269792127377267,0.200353825740823,0.000884564352056612,0.0406899601946042,0.106590004422822,0.0977443609022556,0.0561698363555949,0,0.0791685095090668,0.249447147279965,0.033171163202123,0.0614772224679345,0.0632463511720478,0.059265811587793,0.149491375497567,0.0601503759398496,0.104820875718709,0.121627598407784,0.043343653250774,0.0411322423706325,0.0371517027863777,0.0871295886775763,0.0473241928350287,0.0623617868199912,0
"Caroni",0,0.0924587733926255,0.113766907541227,1,0.0198258291643506,0.276264591439689,0.00185288123031314,0.04372799703539,0.172688530665184,0.169538632573652,0.0833796553640912,0,0.0776357235501204,0.378543635352974,0.047248471372985,0.047248471372985,0.107096535112099,0.0950528071150639,0.204187511580508,0.091532332777469,0.0907911802853437,0.140818973503798,0.0578098943857699,0.0655919955530851,0.0426162682972022,0.142671854734112,0.0717065036131184,0.0969056883453771,0
"Chiesa",0,0.0612244897959184,0.0377241805813234,0.0661719233147805,1,0.0581323438466296,0.00309214594928881,0.0507111935683364,0.0995670995670996,0.128633271490414,0.105751391465677,0,0.0538033395176252,0.106988249845393,0.0822510822510823,0.038961038961039,0.093382807668522,0.113790970933828,0.104514533085962,0.106988249845393,0.0562770562770563,0.054421768707483,0.0878169449598021,0.0822510822510823,0.0711193568336426,0.119356833642548,0.105132962275819,0.0970933828076685,0
"Engler",0,1.83922462941847,0.258266818700114,0.850057012542759,0.0535917901938426,1,0.00855188141391106,0.129988597491448,0.866590649942988,0.636830102622577,0.271949828962372,0,0.195553021664766,2.69669327251995,0.166476624857469,0.1442417331813,0.408209806157355,0.358038768529076,0.543329532497149,0.293614595210946,0.232611174458381,0.391676168757127,0.192702394526796,0.228050171037628,0.161915621436716,0.577537058152794,0.245724059293044,0.373432155074116,0
"Ettlin",0,0.00840978593272171,0.00152905198776758,0.00764525993883792,0.00382262996941896,0.0114678899082569,1,0.00382262996941896,0.0168195718654434,0.0259938837920489,0.0175840978593272,0,0.00382262996941896,0.0252293577981651,0.00535168195718654,0.00305810397553517,0.014525993883792,0.014525993883792,0.0152905198776758,0.00917431192660551,0.00688073394495413,0.00840978593272171,0.00688073394495413,0.00764525993883792,0.00458715596330275,0.0198776758409786,0.014525993883792,0.0137614678899083,0
"Francais",0,0.108730583824317,0.0492769148366363,0.126405998928763,0.0439207284413498,0.122121049812533,0.00267809319764328,1,0.129084092126406,0.154793786823781,0.130155329405463,0,0.123192287091591,0.187466523835029,0.0931976432779861,0.0680235672201393,0.126405998928763,0.144617032672737,0.132833422603107,0.154793786823781,0.0739153722549545,0.113015532940546,0.138725227637922,0.148366363149438,0.0787359400107124,0.141403320835565,0.117836100696304,0.161756829137654,0
"Gapany",0,1.02039428959891,0.163834126444596,0.633582596872876,0.109449354180829,1.03331067301156,0.0149558123725357,0.163834126444596,1,1.55948334466349,0.530931339225017,0,0.153636981645139,2.24949014276003,0.267845003399048,0.118286879673691,0.975526852481305,0.6743711760707,1.08361658735554,0.560163154316791,0.225016995241332,0.278721957851801,0.358259687287559,0.413324269204623,0.246770904146839,1.36437797416723,0.477226376614548,0.758667573079538,0
"Gmür Schönenberger",0,0.387204142011834,0.0817307692307692,0.338387573964497,0.0769230769230769,0.413091715976331,0.0125739644970414,0.106878698224852,0.848372781065089,1,0.542529585798817,0,0.0943047337278106,1.17936390532544,0.194896449704142,0.0721153846153846,0.686760355029586,0.445636094674556,0.625739644970414,0.461908284023669,0.189349112426035,0.189718934911243,0.257026627218935,0.275887573964497,0.183431952662722,1.08505917159763,0.468934911242604,0.538091715976331,0
