"","pages","usernames","party","id","likes","institution"
"1","addor","udcvr64","SVP","256863130",1890,"nr"
"2","aebischer","M_Aebischer","SP","280789941",12756,"nr"
"3","aeschi","thomas_aeschi","SVP","731908201592045568",3758,"nr"
"4","amaudruz","AmaudruzCeline","SVP","3096244845",1118,"nr"
"5","amherd","violapamherd","BR","72560162",19272,"br"
"6","andrey","anderageru","Gruene","18119052",1200,"nr"
"7","arslan","SibelArslanBS","Gruene","3257088023",5904,"nr"
"8","atici","atici_ch","SP","350951224",468,"nr"
"9","badertscher","ChBadertscher","Gruene","1043070118455070720",783,"nr"
"10","badran","JayBadran","SP","50047040",25795,"nr"
"11","baeumle","Martin_Baeumle","GLP","3221526790",8225,"nr"
"12","barrile","anbarrile","SP","219076403",1537,"nr"
"13","baumann","Kilian_Baumann","Gruene","2441812039",1940,"nr"
"14","bellaiche","judithbellaiche","GLP","782066856",1975,"nr"
"15","bendahan","bendahan","SP","36820680",813,"nr"
"16","berset","alain_berset","BR","214032204",159282,"br"
"17","bertschy","kathrinbertschy","GLP","2913929512",5443,"nr"
"18","binder-keller","BinderMarianne","Mitte","469549703",2854,"nr"
"19","bircher","_MartinaBircher","SVP","4827311008",1355,"nr"
"20","borloz","FredericBorloz","FDP","373194785",932,"nr"
"21","bregy","pmbregy","Mitte","96339142",1447,"nr"
"22","brenzikofer","flobrenzikofer","Gruene","2951837405",1512,"nr"
"23","brunner","Th_Brunner_glp","GLP","1262751874429579267",88,"nr"
"24","buffat","michael_buffat","SVP","724584142344695808",255,"nr"
"25","bulliard-marbach","BulliardMarbach","Mitte","1360306513",2013,"nr"
"26","burgherr","ThomasBurgherr","SVP","353662120",464,"nr"
"27","candinas","martin_candinas","Mitte","706788594954981376",3027,"nr"
"28","cassis","ignaziocassis","BR","270609583",28864,"br"
"29","cattaneo","RoccoCattaneo","FDP","962455556",1117,"nr"
"30","chevalley","I_Chevalley","GLP","17789627",161,"nr"
"31","christ","KatjaChrist","GLP","846748184504348672",1106,"nr"
"32","clivaz","ChristopheCliv1","Gruene","1225404455019057153",628,"nr"
"33","cottier","CottierDamien","FDP","1090362867625414657",1452,"nr"
"34","crottaz","CrottazBrigitte","SP","1321771776221786112",37,"nr"
"35","dandres","ch_dandres","SP","1268600378834276354",346,"nr"
"36","de courten","thomasdecourten","SVP","395146551",205,"nr"
"37","de montmollin","montmollin_de","FDP","17526185",821,"nr"
"38","dobler","Marcel_Dobler","FDP","2882434546",3264,"nr"
"39","egger","kurtegger2","SVP","2885344605",421,"nr"
"40","estermann","Yvette67Yvette","SVP","1017350089",1820,"nr"
"41","evp","evppev","Mitte","50961230",4727,"partei"
"42","fdp","FDP_Liberalen","FDP","39250641",19892,"partei"
"43","fehlmann","FehlmannRielle","SP","3082560978",730,"nr"
"44","feri","yferi","SP","227087638",4346,"nr"
"45","fialla","DorisFiala","FDP","3070292500",3649,"nr"
"46","fivaz","ffivaz","Gruene","18983525",1935,"nr"
"47","flach","beatflach","GLP","123362849",5810,"nr"
"48","fluri","FluriKurt","FDP","1090960191963742208",1514,"nr"
"49","friedl","claufriedl","SP","2696249536",1820,"nr"
"50","friedli","friedlies","SVP","30628342",946,"nr"
"51","funiciello","Tamarafuniciell","SP","332450036",8520,"nr"
"52","geissbuehler","a_geissbuehler","SVP","3293767096",38,"nr"
"53","girot","bastiengirod","Gruene","14077586",15757,"nr"
"54","glaettli","bglaettli","Gruene","14675346",24005,"nr"
"55","glanzmann","idamicha","Mitte","444935177",2187,"nr"
"56","glarner","andreas_glarner","SVP","890167030485331968",1843,"nr"
"57","glp","grunliberale","GLP","22799864",26252,"partei"
"58","goessi","PetraGoessi","FDP","365423665",7503,"nr"
"59","graf-litscher","EdithGraf","SP","246714911",1809,"nr"
"60","gredig","corinagredig","GLP","754796125",2506,"nr"
"61","grossen","Juerg_Grossen","GLP","463149099",8702,"nr"
"62","gruene","Gruene_ch","Gruene","240161502",18430,"partei"
"63","grueter","FGrueter","SVP","1371100894482329600",9,"nr"
"64","gugger","NikGugger","Mitte","337729795",1003,"nr"
"65","guggisberg","larsguggisberg","SVP","3291325642",523,"nr"
"66","gutjahr","DianaGutjahr1","SVP","1280965525",1376,"nr"
"67","gysi","BaGysi","SP","2536865558",3083,"nr"
"68","gysin","gretagysin","Gruene","1142298386",434,"nr"
"69","haab","martin_haab","SVP","2974577195",764,"nr"
"70","heer","AlfredHeer","SVP","2527505330",744,"nr"
"71","heimgartner","heimgartnerstef","SVP","2841734393",658,"nr"
"72","herzog","verenaherzog","SVP","1307125520",1608,"nr"
"73","hess","LorenzHess","Mitte","1543019749",1592,"nr"
"74","humbel","RuthHumbel","Mitte","2860664668",2754,"nr"
"75","hurni","hurnib","SP","2482584164",0,"nr"
"76","hurter","HurterThomas","SVP","1077680574",710,"nr"
"77","imark","ChristianImark","SVP","222903677",1197,"nr"
"78","jauslin","JauslinMatthias","FDP","716002872",970,"nr"
"79","kaelin","KaelinIrene","Gruene","2977817361",2369,"nr"
"80","klopfenstein","dklopfensteinb","Gruene","1109914764",657,"nr"
"81","koeppel","KoeppelRoger","SVP","873945156",27550,"nr"
"82","kutter","PhilippKutter","Mitte","316336539",1257,"nr"
"83","landolt","LandoltMartin","Mitte","761741430",7524,"nr"
"84","lohr","Ch_Lohr","Mitte","327254073",2350,"nr"
"85","maeder","joergmaeder","GLP","213039410",2207,"nr"
"86","marchesi","PieroMarchesi1","SVP","521641961",1001,"nr"
"87","markwalder","ChristaMarkwald","FDP","226922317",15835,"nr"
"88","marra","ada_marra","SP","607353825",7472,"nr"
"89","marti","SamiraMarti","SP","1690746518",5680,"nr"
"90","masshardt","nmasshardt","SP","1228066279",3967,"nr"
"91","mettler","doppel_m","GLP","1271630558",47281,"nr"
"92","meyer","meyer_mattea","SP","2881577681",10231,"nr"
"93","mitte","Mitte_Centre","Mitte","172375021",17387,"partei"
"94","moret","IsabelleMoret","FDP","155823857",8984,"nr"
"95","moser","tiana_moser","GLP","906476588983824386",3565,"nr"
"96","müller","LeoMuellerLU","Mitte","1147058678157250561",48,"nr"
"97","müller-altermatt","MullerAltermatt","Mitte","458597614",4463,"nr"
"98","munz","MartinaMunz","SP","780565772",1298,"nr"
"99","nantermod","nantermod","FDP","20442734",7369,"nr"
"100","nidegger","YvesNidegger","SVP","2991955251",978,"nr"
"101","nordmann","NordmannRoger","SP","778644518",8717,"nr"
"102","nussbaumer","enussbi","SP","1052528581",5609,"nr"
"103","paganini","paganini_nr","Mitte","2869699084",903,"nr"
"104","parmelin","ParmelinG","BR","1072443638930726913",16271,"br"
"105","pasquier-eichenberger","IsaPasquierE","Gruene","1308394202309500931",244,"nr"
"106","pfister","gerhardpfister","Mitte","3291242279",9204,"nr"
"107","piller","Valerie_Piller","SP","621159422",1701,"nr"
"108","pointet","isfpo","GLP","137614155",686,"nr"
"109","porchet","LeonorePorchet","Gruene","324967174",3693,"nr"
"110","portmann","HPPortmann","FDP","109517535",2010,"nr"
"111","prelicz-huber","KPrelicz","Gruene","2644841149",1020,"nr"
"112","pult","jonpult","SP","116451792",3271,"nr"
"113","quadri","LorenzQuadri","SVP","323132835",3098,"nr"
"114","regazzi","fregazzi","Mitte","991720068",2231,"nr"
"115","reimann","lukasreimann","SVP","26531313",10994,"nr"
"116","reynard","MathiasReynard","SP","406232148",10207,"nr"
"117","riniker","MajaRiniker","FDP","3166981397",803,"nr"
"118","roduit","roduitbenjamin","Mitte","2317281625",1107,"nr"
"119","romano","MarcoRomanoPPD","Mitte","50262858",5501,"nr"
"120","roth","franziskaroth6","SP","1367017073784868865",194,"nr"
"121","roth-pasquier","MFRP2010","Mitte","1123595200235020288",487,"nr"
"122","rueegger","monika_rueegger","SVP","705826318538170368",558,"nr"
"123","ryser","FranziskaRyser","Gruene","786226112112234496",1290,"nr"
"124","rytz","RegulaRytz","Gruene","1530247224",12156,"nr"
"125","sauter","regine_sauter","FDP","1090224356133871616",578,"nr"
"126","schaffner","BaSchaffner","GLP","217215723",1443,"nr"
"127","schlaepfer","SchlaepferThe","SVP","3345916444",839,"nr"
"128","schlatter","marionnasch","Gruene","1115498595128631296",2600,"nr"
"129","schneeberger","SchneeDani67","FDP","4702673004",811,"nr"
"130","schneider","Schneimere","Gruene","1426055527",2651,"nr"
"131","schneider-schneiter","Elisabeth_S_S","Mitte","399631214",5053,"nr"
"132","schneider-schuettel","uschneiderschue","SP","2899280753",1296,"nr"
"133","seiler-graf","seilergraf","SP","743779500341792768",1854,"nr"
"134","siegenthaler","h_siegenthaler","Mitte","969185938898345985",421,"nr"
"135","silberschmidt","andrisilbi_","FDP","374551600",6160,"nr"
"136","smichaudgigon","smichaudgigon","Gruene","1105090287381168128",1048,"nr"
"137","sollberger","SaSollberger","SVP","556256043",992,"nr"
"138","sommaruga","s_sommaruga","BR","1139082610033008640",41496,"br"
"139","sp","Spschweiz","SP","40681558",44457,"partei"
"140","stadler","SimonStadler7","Mitte","1234776461107777536",564,"nr"
"141","steinemann","BabaSteinemann","SVP","385293664",3979,"nr"
"142","storni","Storni","SP","543567716",890,"nr"
"143","streiff","MarianneStreiff","Mitte","2226700633",1733,"nr"
"144","studer","LilianStuder","Mitte","2966704293",1058,"nr"
"145","suter","suter_gabriela","SP","2748626978",2273,"nr"
